frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,28.99988,224.99985,1.6817703,1.2262759,1.2262759,0.01,1.2815346,1.2815343,2.7713084,-1.795142,1
0,28.9999,146.0003,1.1090088,1.1242002,1.1242002,0.01,1.4415995,1.4415992,2.5718024,-1.3017408,1
0,28.99995,301.00006,1.0,1.0285492,1.0285492,0.01,1.358056,1.3580564,2.698371,-1.2200801,1
0,29.00005,344.00027,1.0804901,1.1644706,1.1644706,0.01,1.5444299,1.5444298,2.6885467,-1.2628607,1
0,29.000124,278.0001,1.0,1.0882245,1.0882245,0.01,1.4670217,1.4670216,2.985371,-1.2072655,1
0,29.000261,134.00002,1.0,1.0796025,1.0796025,0.01,1.450683,1.4506829,2.5578547,-1.2092705,1
0,29.999886,34.999683,1.1840134,1.2146987,1.2146987,0.01,1.5593868,1.559387,2.1791463,-1.3421456,1
0,29.999897,199.99986,1.0,0.9927951,0.9927951,0.01,1.2971364,1.2971363,2.6033666,-1.2265441,1
0,29.999935,266.99982,1.0,1.1485028,1.1485028,0.01,1.5872486,1.5872483,2.5724185,-1.1918713,1
0,30.000006,252.99968,1.0288696,1.1011919,1.1011919,0.01,1.4657038,1.4657037,2.6336157,-1.2317013,1
0,30.999605,287.99976,1.6109085,1.2503009,1.2503009,0.01,1.3570172,1.3570179,2.551711,-1.7174901,1
0,30.99978,179.0004,1.5918198,1.2246472,1.2246472,0.01,1.3211125,1.3211123,2.3969855,-1.7133232,1
0,30.999832,244.00006,1.0,1.1117134,1.1117134,0.01,1.5126017,1.5126015,2.5312073,-1.2015487,1
0,30.999847,311.00034,1.2485962,1.2121336,1.2121336,0.01,1.5042931,1.5042928,2.7566128,-1.4027157,1
0,30.999952,80.00019,1.0,1.1269205,1.1269205,0.01,1.5429658,1.5429662,2.8150792,-1.1976532,1
0,30.999964,21.999836,1.0,1.1162097,1.1162097,0.01,1.5215087,1.5215088,2.5313299,-1.2004125,1
0,31.00007,322.0001,1.0,1.0583111,1.0583111,0.01,1.4112122,1.4112124,2.7218208,-1.2140015,1
0,31.000341,47.000347,1.6355209,1.1499971,1.1499971,0.01,1.1787575,1.1787575,3.0353034,-1.789778,1
0,32.000206,56.999905,1.0,1.1757178,1.1757178,0.01,1.6451352,1.6451356,2.4705307,-1.184174,1
0,35.999634,122.999626,1.8736954,1.1751794,1.1751794,0.01,1.1246679,1.1246678,5.0396023,-2.0006506,1
0,38.99961,233.99997,1.0857849,1.1394775,1.1394775,0.01,1.4900824,1.4900825,2.073877,-1.2753335,1
0,38.999805,224.0002,1.0,1.1569235,1.1569235,0.01,1.6049124,1.604912,2.609603,-1.189537,1
0,38.999874,108.9998,1.2637482,1.2159404,1.2159404,0.01,1.5007751,1.5007746,2.3476093,-1.4152032,1
0,39.999912,189.99979,1.0,1.1206594,1.1206594,0.01,1.5303817,1.5303814,2.56442,-1.1992753,1
0,39.99992,21.999828,1.0,1.1439164,1.1439164,0.01,1.5777192,1.5777194,2.1099186,-1.1931244,1
0,39.999954,332.0001,1.0,1.0891458,1.0891458,0.01,1.4687797,1.4687797,2.5889013,-1.2070483,1
0,39.99998,297.9996,1.1334534,1.1343324,1.1343324,0.01,1.44126,1.4412594,2.6163037,-1.3219075,1
0,40.000042,44.999844,1.0,1.1781003,1.1781003,0.01,1.6503145,1.6503142,3.120478,-1.1834793,1
0,40.000057,147.00012,1.0,1.0909907,1.0909907,0.01,1.4723076,1.4723073,3.0240815,-1.2066115,1
0,40.00011,136.00017,1.0,1.1036687,1.1036687,0.01,1.4968126,1.4968126,2.3875637,-1.2035482,1
0,40.00021,57.999817,1.0017014,1.1301448,1.1301448,0.01,1.5478431,1.547843,2.6012285,-1.198419,1
0,40.000313,99.00002,1.1085815,1.071183,1.071183,0.01,1.3459865,1.3459861,2.9402812,-1.3155453,1
0,40.99966,321.99994,1.0676422,1.2354354,1.2354354,0.01,1.7089707,1.7089705,2.3254428,-1.2277713,1
0,40.99975,209.00008,1.0,1.1462729,1.1462729,0.01,1.5826073,1.5826073,1.858981,-1.1924821,1
0,40.999775,90.00016,1.0,1.0980642,1.0980642,0.01,1.4859234,1.4859233,2.2150154,-1.2049156,1
0,40.999817,290.00015,1.0,1.1209955,1.1209955,0.01,1.5310544,1.5310544,2.5757122,-1.1991888,1
0,40.99989,168.00027,1.1455612,1.1505704,1.1505704,0.01,1.462594,1.4625942,2.64577,-1.3283193,1
0,40.9999,239.99998,1.0,1.0843546,1.0843546,0.01,1.4596623,1.4596626,2.1434233,-1.2081717,1
0,40.999966,265.99982,1.0,1.1253682,1.1253682,0.01,1.5398352,1.5398353,2.445538,-1.1980577,1
0,41.000126,275.9998,1.0298691,1.1474085,1.1474085,0.01,1.5560384,1.5560383,2.2799368,-1.2203133,1
0,41.000267,177.0002,1.0810928,1.1637025,1.1637025,0.01,1.542337,1.542337,2.7585998,-1.2636616,1
0,41.000427,203.0,1.2976913,1.2104673,1.2104673,0.01,1.4660901,1.4660901,2.1158237,-1.4487122,1
0,41.99992,67.99975,1.0,1.0873498,1.0873498,0.01,1.4653542,1.4653544,3.1136692,-1.2074713,1
0,41.999935,257.00018,1.0,1.1114676,1.1114676,0.01,1.5121164,1.5121166,2.4691358,-1.2016104,1
0,42.00005,155.99965,1.1878738,1.1594989,1.1594989,0.01,1.4471487,1.447149,2.8905082,-1.3651932,1
0,42.00015,76.999985,1.0,1.0184894,1.0184894,0.01,1.3406003,1.3406003,2.4326844,-1.2219919,1
0,42.000164,36.00015,1.0,1.1295532,1.1295532,0.01,1.5482923,1.5482924,2.48592,-1.1969637,1
0,42.00025,310.00006,1.0,1.060709,1.060709,0.01,1.4155961,1.415596,2.715343,-1.2134845,1
0,43.00004,345.00012,1.0,1.1434388,1.1434388,0.01,1.5767312,1.576731,2.7625458,-1.1932541,1
0,48.99995,321.9998,1.0543518,1.1211423,1.1211423,0.01,1.4815826,1.4815829,2.6157906,-1.2507391,1
0,49.99992,233.00034,1.0312805,1.1649606,1.1649606,0.01,1.5909846,1.5909851,2.54024,-1.2165874,1
0,50.9994,341.9999,1.593956,1.1666611,1.1666611,0.01,1.2232151,1.2232147,2.9232974,-1.7431931,1
0,50.999737,299.00015,1.0,1.0905361,1.0905361,0.01,1.4714375,1.4714373,2.5127332,-1.2067194,1
0,50.999866,56.99979,1.0422974,1.148261,1.148261,0.01,1.5461577,1.546158,2.6686523,-1.2317792,1
0,50.999874,309.00006,1.0,1.1884793,1.1884793,0.01,1.6730884,1.6730877,2.8220313,-1.1804153,1
0,50.99994,101.0,1.0,1.0998747,1.0998747,0.01,1.4894311,1.489431,2.3670127,-1.2044762,1
0,51.00004,48.00013,1.0,1.1459802,1.1459802,0.01,1.5819992,1.5819992,2.3558676,-1.1925621,1
0,51.000275,256.00018,1.3833771,1.2392285,1.2392285,0.01,1.4649751,1.4649751,2.6618042,-1.5152297,1
0,51.000298,144.99995,1.0620651,1.1975491,1.1975491,0.01,1.6306281,1.6306281,2.0254514,-1.2352655,1
0,51.000343,139.99992,1.0,1.1150233,1.1150233,0.01,1.5191526,1.5191529,1.6815073,-1.2007136,1
0,51.999832,153.99991,1.0,1.1239376,1.1239376,0.01,1.536956,1.5369563,2.993307,-1.1984291,1
0,51.999836,24.99977,1.3277664,1.2227503,1.2227503,0.01,1.4694612,1.469461,2.5374255,-1.4713835,1
0,51.999863,330.99997,1.0,1.1541921,1.1541921,0.01,1.5991584,1.5991584,2.636694,-1.1902989,1
